Time	Time	Annotation	Layer
0:03		Irving Layton: Testing, testing. Sandra Djwa: Let’s sort of see…. IL: So this will go on for, what, an hour and a half? SD: About an hour and a quarter to an hour and a half. Now, if anybody goes over their ten minutes and they get dangerously close to twelve, I’ll pull them from behind. IL: Right SD: Okay? IL: Yeah, stop us. Stop us in the middle of a sentence. Dorothy Livesay: How will you do it? SD: I’ll pull you from behind, I’ll tweak you. DL: Tweak my tail! SD: I’ll tweak your tail! SD: Okay.	dialogue
0:45		SD: I wonder if we could have your attention.The subject of tonight’s symposium is “Poetry of the Thirties and Forties”. The poetry that really laid the foundation, in fact started modern poetry, and laid the foundation for the contemporary.	Djwa
1:04		We’re fortunate tonight in having here with us some of the major poets from this period. Dorothy Livesay, who began writing in Ontario in the late 20s, Anne Marriott, whose major poem was written in B.C. In 1939, “The Wind Our Enemy,” and Irving Layton who began to write in Montreal in the early 40s.	Djwa
1:29		We’re happy to have Anne here substituting for P. K. Page, who wasn’t able to come. And we very much regret that F. R. Scott has been ill, and is not able to be with us.	Djwa
1:43		Our format this evening will consist of a brief introduction to each of the three poets, followed by an overview of their particular period by each of the poets. We will then move onto a general discussion with the panel, and after that we will throw the meeting open for questions.	Djwa
2:06		Now, I’d like to begin, perhaps, by invoking F. R. Scott in spirit, since he can’t be here in person. Because it was Scott’s satirical verse, “The Canadian Authors Meet,” written in 1927, which really sketches out the kind of poetry that most of our three panelists were reacting against.	Djwa
2:27		This was the poem entitled “The Canadian Authors Meet” and it was written at the Ritz Carleton Hotel one night in 1927 while Scott, sitting at the back of the room, watched A. J. M. Smith go up to the front of the room to get two prizes for two sonnets, which he had submitted pseudonymously. The poem that Scott wrote is this:	Djwa
2:54		SD recites poem “The Canadian Authors Meet” by F. R. Scott.	Djwa
3:53		SD: Well, Scott was parodying the kind of poetry that he didn’t care for.	Djwa
4:00		Dorothy Livesay who is going to begin tonight’s symposium will be telling us something about the Miss Crotchets, the lady poets of the 20s, who preceded her.	Djwa
4:11		More importantly, she will be telling us about another strain of poetry - an important imagist line that began with Raymond Knister that carried on through W. W. E Ross, and also she will be talking about, briefly, the poetry of Louise Morey Bowman.	Djwa
4:30		SD: Dorothy knows the world of the woman artist firsthand, because her mother, Florence Randal Livesay was a well-known poet of the 20s. Her father, J. F. B. Livesay was for some time a head of Canadian Press.	Djwa
4:45		Dorothy’s first book of poetry, Green Pitcher was published in 1928. It differs from the earlier verse—much of the earlier verse of the 20s—in that you will find here an original voice which draws on the new imagist movement for its form.	Djwa
5:04		Early in the 30s she became committed to the left. Her poetry, which had earlier concentrated on nature, now turned to human nature. And particularly the social struggle and its place in a reconstructed society.	Djwa
5:21		She was associated with the short-lived little magazine Masses, which ran from 1932 to ’34, and with the left-wing New Frontier of 1937.	Djwa
5:32		It was her poem, “Day and Night,” a description of the toiling factory worker, which for many Canadians epitomized what was wrong with the industrial system.	Djwa
5:44		SD recites excerpt from “Day and Night” by Dorothy Livesay.	Djwa
5:51		The whole fascinating story of these years is to be found in her recently published book, Right Hand Left Hand, a montage of letters, documents, and clippings from the period.	Djwa
6:03		In 1941, Dorothy was one of the founders of Contemporary Verse, that British Columbia little magazine which was one of the first to decentralize Canadian poetry. Her collected poems, The Two Seasons, was published in 1972. She received two Governor General’s awards: one for Day and Night in 1944 (the book this time, not the poem); and in 1947 for her Poems for People. She received the Queen’s Jubilee medal in 1977.	Djwa
6:38		Through her candor and her explicit statement of the woman’s position, Dorothy Livesay has had a considerable influence on younger woman poets in the 60s and 70s. Tonight she will be describing the literary climate of the 20s and some of the more exciting events of the 30s. Dorothy Livesay.	Djwa
6:58		Applause	audience
6:58		DL: Thank you	Livesay
7:10		DL: I have so much to cover that I expect I shall be plucked by the tail and told to stop!	Livesay
7:17		The 1920s in Canada were a most unusual period between social upheavals that might have made this country the first British colony to achieve socialism.	Livesay
7:29		All of Canada experienced the trauma of the First World War with its decimating losses of young men. All of Canada, proud at first to have been a contributing partner in the British Empire was seized by another kind of pride – that of being Canadian and of desiring complete independence and nationhood.	Livesay
7:47		That was one dominant element in the ‘20s as I was a young girl still at school: Canadian nationalism. It was strong enough to push for complete independence from Britain, achieved at the end of the decade through the Treaty of Westminster.	Livesay
8:04		But there was another kind of ferment going on during the ‘20s – a social ferment. The defeat of the 1919 General Strike in Winnipeg, with its parallel struggles in B.C. tended to create a fog around what had really happened and why.	Livesay
8:20		It is only in our time that the historians have documented the poverty of the new immigrants, the low wages and long hours, the return of veterans expecting to be heroes but finding only unemployment. The ruthlessness of the state in bringing in the police against peaceful demonstrators.	Livesay
8:37		Yet all the time there were documents to be had and found – for the writers were writing. Their books were being published all through the ‘20s.	Livesay
8:46		In Manitoba the first literature of social protest was being created by all manner of folk who were close to the people and wanted their voices heard. This is the whole ‘populist’ movement of Canadian prose fiction, which has been dismissed by critics and forgotten, but it was a tremendous thing because Ralph Connor and Nellie McClung really were speaking of the social evils of the day, and presenting them—and their books sold by the … 50,000.	Livesay
9:20		So they were laying the basis—this populist movement of prose writers—were laying the basis, I think, for all that happened afterwards—the fact that the Canadian novel really came to birth on the prairie in Manitoba, with the descendants of Martha Ostenso, the descendants of Laura Goodman Salverson, the descendants of Mazo de la Roche in Ontario. People who wrote for the people, but did not write brilliant literary pieces of work, but they laid the basis, I believe, for Margaret Lawrence, for Adele Wiseman, for Gabrielle Roy, and the Canadian novel came to birth and to long life.	Livesay
10:11		In the field of poetry the picture is less clear. It’s been obscured on the one hand by the hangover from the Confederation Poets, particularly Roberts and Carman, who returned to Canada after the war after 25 years [of] exile—they were both in the states—and toured the country with their less than passionate lyricism and nature poetry.	Livesay
10:32		These were fascinating literary figures, who traveled up and down the country reading their poems, and as a young girl I was extremely interested in them, of course. I make no bones about the influence they had on a young student like myself. But their influence on the literary scene was to send poetasters and sunday poets backwards. Most of the people writing for the newspapers and so on were dubbed “The Maple Leaf School.”	Livesay
11:02		Only in isolated productions did Carman in his Sappho poems and Roberts in a poem like “The Iceberg” reveal their own interest in free verse poems. So, the fact that they were not concerned with modern poetry led the younger people in the country to resist it, and to write against what they had been doing.	Livesay
11:29		And the influence that caught hold of the imagination of young poets in Ontario like Raymond Knister and in Montreal Louise Morey Bowman, and myself also in Ontario, and two other poets in Ontario—W. W. E. Ross and the painter Lauren Harris—the influence which really caught their attention was imagism, which was an international movement in poetry centered in England and the United States.	Livesay
12:06		I think that that movement had a tremendous effect on these individual poets, such as Raymond Knister, Ross, and myself. Because it was concerned with plain speech, free rhythm—a debarassment—a taking away of all the clutter of adjectives and adverbs and of poetic structures and speaking out plainly about the immediate place and time. So these individual poets, I feel, gave our poetry a locus and a focus. Moment and scene. Time and place.	Livesay
12:53		In my view it was a great pity that the Montreal McGill group published in 1937 an anthology written some ten years earlier of poems largely irrelevant to the Canadian literary scene to the needs of the time.	Livesay
13:09		It seems to me that what was going on in individual poets in Ontario was being ignored entirely by the Montreal group who were internationalists and were not really being concerned with place.	Livesay
13:25		Be that as it may, we all did get together and know each other. I knew Leo Kennedy well, and A. M. Klein, A. J. M. Smith, and all that group—of whom I’m sure Irving Layton will tell us more.	Livesay
13:44		Leo Kennedy is perhaps the most interesting member of that Montreal group because he started out being an Eliot man and a mythic, mythopoaic poet and he started a magazine called Canadian Mercury which was to propagate the new idea of the new writing, and then when the ‘30s came along and the Depression hit him, he became a Marxist and his whole poetry changed, from being religious and mythical, to a poetry dealing with the crisis in the country—the unemployed crisis.	Livesay
14:33		I don’t believe I can possibly talk about what happened in the ‘30s in a very brief space. Let me tell you that we started a theatre movement in Canada—a worker’s theatre movement—which made a great impact on the country and we started two magazines. One was Masses, which was proletarian literature to the hilt, very working-class and left-wing. And then a much more united-front magazine called New Frontier, which really sprang to life because of the Spanish Civil War and the struggle against it.	Livesay
15:14		I’m sure we all know by now that Canada sent more soldiers to aid Republican Spain than any other country except France. We sent twelve-hundred young men, and only six hundred came back. And this event stirred the imagination of the poets writing, especially a lot of newer voices like P. K. Page, Miriam Waddington, Ralph Gustafson and F. R. Scott also was writing poems about Spain.	Livesay
15:45		And then there were two very interesting proletarian-oriented—labour-oriented—poets. Balladeers. One, Joe Wallace from Nova Scotia. A Catholic who was also a communist. And the other, a man who died only recently, Kenneth Leslie—also a Catholic and a great supporter of the miner’s union in Cape Breton. His poems aren’t known at all but they have now been published since his death in a Collected Poems and this little paperback called O’Malley to the Reds where a Catholic priest argues with the leaders of a miner’s trade union.	Livesay
16:30		So all these things were happening in this country but they weren’t published at the time. They’re only being looked at and known about now. But if you do want to learn more, read in your library the files of New Frontier. Thank you.	Livesay
16:50		Applause	audience
16:58		SD: I think that when we get through hearing each of the panelists in turn it might be a good idea to go back to you, Dorothy, and to ask you more about the ‘30s and especially the Spanish Civil War and the way in which it had an influence here in Canada.	Djwa
17:15		SD: To introduce our second panelist, Anne Marriott: Anne comes to poetry with a somewhat different perspective than either Dorothy or Irving in that she didn’t hold a particular ideological position during what was really a highly political decade—the ‘30s.	Djwa
17:35		SD: She is a B.C. writer, educated in Victoria at Norfolk House and she later took courses in creative writing at the University of British Columbia.	Djwa
17:45		During a summer visit to the prairies, she experienced some of the effects of a long depression and drought. It was near the end of the ‘30s when she was in the prairies. Her poem “The Wind, Our Enemy,” one of the best known poems of that decade, is a word painting of her own emotional reaction.	Djwa
18:06		She received the Governor General’s award for her chapbook Calling Adventurers in 1941 and published Salt Marsh in 1942 and published Sandstone and Other Poems in 1945.	Djwa
18:20		In “The Wind, Our Enemy” Anne writes from the perspective of one who feels with and for the prairie farmer as the sun beats down destroying his crop.	Djwa
18:32		But on the other hand, she hasn’t forgotten—as some of our writers of the Depression have—the, sort of, enormous human solidarity. There were dances, there were get-togethers, there were soirees in “The Wind, Our Enemy.”	Djwa
18:48		She will be describing her approach to her art and her part with Dorothy Livesay in the setting-up of Contemporary Verse.	Djwa
18:57		I should mention, as a matter of interest, that all three of our panelists were together, in the pages of Contemporary Verse in 1941. Anne Marriott.	Djwa
19:10		Applause	audience
19:18		AM: I would like to mention, Sandra, that I have had another book since Sandstone and Other Poems. I didn’t sort of just fade out and then I did have Countries in 1971. SD: Thank you.	Marriott
19:29		AM: Listening to Dorothy makes me feel as if I had done nothing in the ‘30s and knew absolutely nothing about what was going on in the Canadian literary scene. And I guess that was really quite true.	Marriott
19:44		As Sandra has said, I grew up in Victoria. I went to a girl’s private school where the main purpose of our education seemed to be to turn us into nice polite English ladies and maybe to play grass hockey well, which was something I never succeeded in doing.	Marriott
20:04		And I can’t remember the Depression, for instance, ever being mentioned at that school and we certainly never heard anything about Canadian literature. We studied Keats and Shelley and we did get up to something as modernist John Masefield but that was where it stopped.	Marriott
20:11		Audience laughter	audience
20:28		AM: I didn’t feel anything of the Depression myself. My father was a civil engineer who worked with the provincial government and although we never seemed to have enough money, at least not in comparison to my schoolmates, we were actually very comfortable. I was sick a great deal and very protected and I think I lived in a sort of nice, comfortable green cocoon in Victoria with no idea what was going on anywhere else.	Marriott
20:54		But I did write poetry—well, as early as I can remember it was just a sort of natural part of living was to write poetry and stories. But this poetry of course was all very much influenced by the Keats, Shelley, and possibly Masefield tradition.	Marriott
21:14		And I guess about 1936 I got into the Victoria Poetry Group, which was run by Doris Ferne. It was part of the Canadian Authors Association. And in that group I got my first glimmering that there was something else, some other kind of poetry.	Marriott
21:33		And the first really big experience was when Ira Dilworth who was then, I think, at Victoria High School and then later on became associated with the CBC in Vancouver read Eliot’s “The Waste Land” at a meeting with the poetry group.	Marriott
21:50		And this, to me, was just one of the most wonderful experiences of my life until then. I had never heard anything remotely like that, and the language, and the metaphors. I couldn’t under understand more than half of it of course, if that, but it was just the most marvellous, emotional experience. And I suddenly realized there was a whole new way of writing that I knew nothing about.	Marriott
22:16		And around the same time, Alan Crawley—whom I will speak more about in a minute—came to Victoria and he was another person who read modern poetry, and who really showed me more of what was going on.	Marriott
22:31		As I’ve said, the poetry that I wrote was all very much the nice little lyrics about laurel hedges and waves on the beach, and this kind of thing.	Marriott
22:42		Until 1937 when I had been ill for quite a long time and our English family doctor suggested I should go to a high dry climate to recuperate, and my parents sent me off to Saskatchewan to my aunt’s. So instead of the moist greenness of Victoria, here was this enormous prairie, absolutely baked brown, full of wind, and dust blowing, and poverty.	Marriott
22:58		Audience laughter	audience
23:18		And this was really a very traumatic experience. But actually it was the best time I’d ever had in my life until then because I went to—well, I think Sandra mentioned—that I went to dances in the schoolhouse and rode horseback and went to stampedes in the little town and I really had a great time.	Marriott
23:39		Because one of the reasons I hadn’t been aware of what was going on, I think, was that I was excessively shy, so I was very comfortable with nature but I wasn’t very comfortable with people. And that was why, I suppose, why I wrote nature poetry, but when I got to Saskatchewan I felt very comfortable with the people there who seemed much more real than my schoolmates and I was accepted there and I had a very happy time.	Marriott
24:08		But although I was enjoying myself so much I was very much aware for the first time in my life of pain and despair in the people around me. And I was also extremely aware of the difference in the landscape.	Marriott
24:25		And so when I got back to Victoria, I had been home about three days and I was sitting at lunch in our dining room and suddenly a line of poetry began to form in my mind: “Wind flattening its gaunt furious self against the naked siding” and just like that I began to write “The Wind, Our Enemy” on the back of an envelope and I remember very clearly my mother cautioning me not to get ink on the tablecloth and I remember also noticing the difference—being really aware of the difference—of this nice white damask Victoria tablecloth compared to the cracked oil cloth that I had been having meals off of all summer on the prairie farm.	Marriott
24:39		AM recites excerpt from "The Wind, Our Enemy"	Marriott
25:13		Well, Doris Ferne showed the manuscript for “The Wind, Our Enemy” to Dorothy’s father, J. F. B. Livesay and he took it down to Toronto and it was published by the Ryerson Press and still crops up in anthologies because I guess it was one of the few poems that was written about that era.	Marriott
25:34		And so after “The Wind, Our Enemy” came out, then I met Dorothy and other writers who were writing in a modern style and who were writing about the sort of things I was now becoming interested in.	Marriott
25:49		But I wanted to mention Contemporary Verse because that was a very important thing, not just to me but to Canadian poets. It was the Easter weekend of 1941 and Dorothy was staying with Floris McLaren, a Victoria writer, and Doris Ferne and I went there for the afternoon, and we were saying how nice it would be if only there were some magazine that would use our poetry.	Marriott
26:16		The Canadian Poetry Magazine had been in existence for a while but it was very traditional. It started out well with E. J. Pratt but it became very, sort of, hide-bound.	Marriott
26:28		And Dorothy, I think, being the most adventurous one of us said “Why don’t we start a magazine?” And Floris who was very practical said “Oh well, you know that’s just a pipe dream.” But at the end of the afternoon we decided “Well, why not?” We would start a magazine. And somebody said “Well, who would edit it?” and everyone just said at once, “well, Alan Crawley.”	Marriott
26:52		AM: And – Am I going over my time yet? SD: Finish your story	dialogue
26:58		AM: Well, Alan Crawley was from Winnipeg. He was a lawyer who was very interested in poetry and had become blind. And he came to Victoria and he had this wonderful store of modern poetry, and he read to people, and he–really, we all caught his enthusiasm for modern poetry, and Contemporary Verse started with—the first issue cost sixteen dollars to bring out, and we had twenty-five subscribers at a dollar each and that launched the magazine, which ran for ten years, and well… published all of us.	Marriott
27:33		SD: That was a darn good magazine!	Djwa
27:35		Applause	audience
27:46		SD: Well, shortly after Contemporary Verse got going and Irving Layton and Dorothy Livesay and Anne Marriott appeared in its pages, Preview, a new little magazine was founded in Montreal.	Djwa
27:58		As P. K. Page is not here to tell the Preview story, perhaps we should have a few sentences on it. Preview began in March 1942 as a mimeograph bulletin. F. R. Scott, Patrick Anderson, and Neville Shaw were among the original founders, and P. K. Page and A. M. Klein soon joined the group.	Djwa
28:19		The first editorial of this little magazine stated that the poets involved were all anti-fascist, and this is what they said: “We feel that the existence of a war between democratic culture and the paralyzing forces of dictatorship only intensifies the writer’s obligation to work. Now more than ever, creative and experimental writing must be kept alive and there must be no retreat.”	Djwa
28:27		SD quoting Preview editors	Djwa
28:45		World War II, then, brought with it a new interest in the arts, especially poetry and especially poetry in the service of democracy.	Djwa
28:55		First Statement, a second little magazine began shortly after Preview, partly, as Irving will probably tell us, because John Sutherland, the founder of First Statement submitted some poems to Preview and they weren’t accepted. So he then decided he needed an outlet for his poetry and First Statement came into being.	Djwa
29:21		First Statement also took a political stand. However, the cosmopolitanism, especially the British influence of the Preview group irked First Statement members, especially John Sutherland, Irving Layton, and Louis Dudek. They saw Preview’s cosmopolitanism as just another name for colonialism.	Djwa
29:44		As John Sutherland wrote: “a poet preaching politics in the guise of Auden may be just as colonial as a member of the CAA praising Britain in the metres of Tennyson.” What Sutherland wanted was a poetry that stopped being a parasite on other literatures and has had the courage to decide its own problems in its own way.	Djwa
29:45		SD quotes John Sutherland	Djwa
30:07		Irving Layton, who began to write in the pages of First Statement, and in fact in the early years of the war as Lieutenant Layton can best speak of this period.	Djwa
30:21		He hardly needs an introduction to this audience as many of you will have heard his excellent reading last night. In the early ‘40s, Irving was writing particularly of the social injustices, which he perceived in Montreal and in the larger world around him.	Djwa
30:37		In the April 1943 issue of First Statement, we find a verse from Irving called “The Modern Poet” and here are the first four lines:	Djwa
30:48		SD recites excerpt from "The Modern Poet" by Irving Layton.	Djwa
30:58		Irving Layton, is, above all, a passionate poet. And his great contribution to Canadian literature is that he brought eros to Canadian poetry, where she properly belonged.	Djwa
30:02		Audience member laughs. IL: haw, haw! SD: Would you like to step outside?	dialogue
31:23		In the late ‘40s and early ‘50s he complained that Canadians were “too dull, too conservative, and much too neglectful of the joys of the flesh.”	Djwa
